"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 10:34:01 GMT 2024","Sun Jan 14 10:34:01 GMT 2024","73","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"passed","Sun Jan 14 10:33:52 GMT 2024","Sun Jan 14 10:33:53 GMT 2024","1286","test","hootel1_test","TestHootel","","","test_navigation",""
"broken","Sun Jan 14 10:34:03 GMT 2024","Sun Jan 14 10:34:03 GMT 2024","23","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 10:33:56 GMT 2024","Sun Jan 14 10:33:56 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 10:33:59 GMT 2024","Sun Jan 14 10:33:59 GMT 2024","176","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"broken","Sun Jan 14 10:34:20 GMT 2024","Sun Jan 14 10:34:21 GMT 2024","1013","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 10:34:28 GMT 2024","Sun Jan 14 10:34:29 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 10:33:49 GMT 2024","Sun Jan 14 10:33:49 GMT 2024","146","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:34:25 GMT 2024","Sun Jan 14 10:34:25 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:33:55 GMT 2024","Sun Jan 14 10:33:55 GMT 2024","22","test","hotel_test","TestHotel","","","test_booking",""
"broken","Sun Jan 14 10:34:23 GMT 2024","Sun Jan 14 10:34:23 GMT 2024","22","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:34:14 GMT 2024","Sun Jan 14 10:34:18 GMT 2024","4451","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 10:33:55 GMT 2024","Sun Jan 14 10:33:55 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:34:06 GMT 2024","Sun Jan 14 10:34:11 GMT 2024","5179","test","test_gyakorlás1","TestHootel","","","test_list_task",""
