"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 11:10:10 GMT 2024","Sun Jan 14 11:10:10 GMT 2024","75","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"passed","Sun Jan 14 11:10:37 GMT 2024","Sun Jan 14 11:10:38 GMT 2024","773","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:10:17 GMT 2024","Sun Jan 14 11:10:22 GMT 2024","5166","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 11:10:07 GMT 2024","Sun Jan 14 11:10:07 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 11:10:34 GMT 2024","Sun Jan 14 11:10:35 GMT 2024","822","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 11:10:31 GMT 2024","Sun Jan 14 11:10:32 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 11:10:40 GMT 2024","Sun Jan 14 11:10:41 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 11:10:06 GMT 2024","Sun Jan 14 11:10:06 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 11:10:14 GMT 2024","Sun Jan 14 11:10:14 GMT 2024","1","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"passed","Sun Jan 14 11:10:05 GMT 2024","Sun Jan 14 11:10:06 GMT 2024","1000","test","hotel_test","TestHotel","","","test_booking",""
"passed","Sun Jan 14 11:10:02 GMT 2024","Sun Jan 14 11:10:03 GMT 2024","1102","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 11:10:24 GMT 2024","Sun Jan 14 11:10:28 GMT 2024","4450","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"passed","Sun Jan 14 11:09:59 GMT 2024","Sun Jan 14 11:10:00 GMT 2024","832","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:10:12 GMT 2024","Sun Jan 14 11:10:12 GMT 2024","74","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
