"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 11:16:11 GMT 2024","Sun Jan 14 11:16:15 GMT 2024","4446","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"passed","Sun Jan 14 11:16:24 GMT 2024","Sun Jan 14 11:16:24 GMT 2024","766","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:15:50 GMT 2024","Sun Jan 14 11:15:51 GMT 2024","981","test","hotel_test","TestHotel","","","test_booking",""
"passed","Sun Jan 14 11:16:21 GMT 2024","Sun Jan 14 11:16:21 GMT 2024","815","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:15:55 GMT 2024","Sun Jan 14 11:15:55 GMT 2024","73","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"broken","Sun Jan 14 11:15:52 GMT 2024","Sun Jan 14 11:15:52 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:15:47 GMT 2024","Sun Jan 14 11:15:48 GMT 2024","1103","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 11:16:27 GMT 2024","Sun Jan 14 11:16:28 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 11:15:52 GMT 2024","Sun Jan 14 11:15:52 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 11:16:00 GMT 2024","Sun Jan 14 11:16:01 GMT 2024","1835","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"passed","Sun Jan 14 11:15:44 GMT 2024","Sun Jan 14 11:15:45 GMT 2024","819","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:15:57 GMT 2024","Sun Jan 14 11:15:57 GMT 2024","76","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"broken","Sun Jan 14 11:16:17 GMT 2024","Sun Jan 14 11:16:18 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 11:16:04 GMT 2024","Sun Jan 14 11:16:09 GMT 2024","5163","test","test_gyakorlás1","TestHootel","","","test_list_task",""
