"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 10:39:51 GMT 2024","Sun Jan 14 10:39:52 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 10:39:09 GMT 2024","Sun Jan 14 10:39:09 GMT 2024","0","test","hotel_test","TestHotel","","","test_booking",""
"broken","Sun Jan 14 10:39:48 GMT 2024","Sun Jan 14 10:39:48 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:39:15 GMT 2024","Sun Jan 14 10:39:16 GMT 2024","127","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"broken","Sun Jan 14 10:39:22 GMT 2024","Sun Jan 14 10:39:22 GMT 2024","24","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 10:39:40 GMT 2024","Sun Jan 14 10:39:41 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"broken","Sun Jan 14 10:39:05 GMT 2024","Sun Jan 14 10:39:05 GMT 2024","113","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:39:12 GMT 2024","Sun Jan 14 10:39:12 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 10:39:25 GMT 2024","Sun Jan 14 10:39:30 GMT 2024","5175","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"passed","Sun Jan 14 10:39:08 GMT 2024","Sun Jan 14 10:39:09 GMT 2024","1305","test","hootel1_test","TestHootel","","","test_navigation",""
"broken","Sun Jan 14 10:39:44 GMT 2024","Sun Jan 14 10:39:45 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:39:11 GMT 2024","Sun Jan 14 10:39:11 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:39:19 GMT 2024","Sun Jan 14 10:39:19 GMT 2024","79","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"passed","Sun Jan 14 10:39:33 GMT 2024","Sun Jan 14 10:39:37 GMT 2024","4490","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
