"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 09:43:24 GMT 2024","Sun Jan 14 09:43:24 GMT 2024","0","test","test_gyakorlás1","","","","test_guest_number_input",""
"broken","Sun Jan 14 09:43:26 GMT 2024","Sun Jan 14 09:43:26 GMT 2024","0","test","test_gyakorlás1","","","","test_list_task",""
"broken","Sun Jan 14 09:43:31 GMT 2024","Sun Jan 14 09:43:31 GMT 2024","101","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 09:43:21 GMT 2024","Sun Jan 14 09:43:21 GMT 2024","0","test","homework3_test","","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 09:43:23 GMT 2024","Sun Jan 14 09:43:23 GMT 2024","0","test","hootel1_test","TestHootel","","","test_navigation",""
"broken","Sun Jan 14 09:43:25 GMT 2024","Sun Jan 14 09:43:25 GMT 2024","0","test","test_gyakorlás1","","","","test_user_inputs",""
"broken","Sun Jan 14 09:43:21 GMT 2024","Sun Jan 14 09:43:21 GMT 2024","0","test","homework3_test","","","","test_hotel_description",""
"broken","Sun Jan 14 09:43:18 GMT 2024","Sun Jan 14 09:43:18 GMT 2024","0","test","gyakorlás_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 09:43:36 GMT 2024","Sun Jan 14 09:43:37 GMT 2024","1087","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 09:43:23 GMT 2024","Sun Jan 14 09:43:23 GMT 2024","0","test","hotel_test","TestHotel","","","test_booking",""
"broken","Sun Jan 14 09:43:20 GMT 2024","Sun Jan 14 09:43:20 GMT 2024","0","test","gyakorlás_test","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"broken","Sun Jan 14 09:43:26 GMT 2024","Sun Jan 14 09:43:26 GMT 2024","0","test","test_gyakorlás1","","","","test_login_and_logout",""
"broken","Sun Jan 14 09:43:22 GMT 2024","Sun Jan 14 09:43:22 GMT 2024","0","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 09:43:33 GMT 2024","Sun Jan 14 09:43:33 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
