"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 10:00:33 GMT 2024","Sun Jan 14 10:00:37 GMT 2024","4449","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 10:00:48 GMT 2024","Sun Jan 14 10:00:48 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:00:27 GMT 2024","Sun Jan 14 10:00:30 GMT 2024","3107","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 10:00:10 GMT 2024","Sun Jan 14 10:00:10 GMT 2024","0","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:00:13 GMT 2024","Sun Jan 14 10:00:13 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"broken","Sun Jan 14 10:00:12 GMT 2024","Sun Jan 14 10:00:12 GMT 2024","0","test","hotel_test","TestHotel","","","test_booking",""
"broken","Sun Jan 14 10:00:40 GMT 2024","Sun Jan 14 10:00:41 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 10:00:18 GMT 2024","Sun Jan 14 10:00:18 GMT 2024","79","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"passed","Sun Jan 14 10:00:51 GMT 2024","Sun Jan 14 10:00:52 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 10:00:24 GMT 2024","Sun Jan 14 10:00:24 GMT 2024","14","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 10:00:12 GMT 2024","Sun Jan 14 10:00:12 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:00:11 GMT 2024","Sun Jan 14 10:00:11 GMT 2024","0","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 10:00:21 GMT 2024","Sun Jan 14 10:00:21 GMT 2024","75","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"broken","Sun Jan 14 10:00:44 GMT 2024","Sun Jan 14 10:00:45 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
