"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 10:39:57 GMT 2024","Sun Jan 14 10:39:57 GMT 2024","0","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 10:39:54 GMT 2024","Sun Jan 14 10:39:54 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:40:14 GMT 2024","Sun Jan 14 10:40:15 GMT 2024","1013","test","test_homework3","TestHootel","","","test_hotel_description",""
"broken","Sun Jan 14 10:39:57 GMT 2024","Sun Jan 14 10:39:57 GMT 2024","0","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 10:39:55 GMT 2024","Sun Jan 14 10:39:55 GMT 2024","0","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"broken","Sun Jan 14 10:39:53 GMT 2024","Sun Jan 14 10:39:53 GMT 2024","0","test","hotel_test","TestHotel","","","test_booking",""
"broken","Sun Jan 14 10:39:56 GMT 2024","Sun Jan 14 10:39:56 GMT 2024","0","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"broken","Sun Jan 14 10:39:42 GMT 2024","Sun Jan 14 10:39:42 GMT 2024","0","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:40:24 GMT 2024","Sun Jan 14 10:40:25 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Sun Jan 14 10:40:21 GMT 2024","Sun Jan 14 10:40:21 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:40:06 GMT 2024","Sun Jan 14 10:40:11 GMT 2024","4969","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 10:39:52 GMT 2024","Sun Jan 14 10:39:52 GMT 2024","0","test","hootel1_test","TestHootel","","","test_navigation",""
"broken","Sun Jan 14 10:40:18 GMT 2024","Sun Jan 14 10:40:18 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:39:55 GMT 2024","Sun Jan 14 10:39:55 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
