"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 10:04:25 GMT 2024","Sun Jan 14 10:04:25 GMT 2024","0","test","hootel1_test","TestHootel","","","test_navigation",""
"broken","Sun Jan 14 10:04:38 GMT 2024","Sun Jan 14 10:04:41 GMT 2024","3106","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 10:04:26 GMT 2024","Sun Jan 14 10:04:26 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:04:27 GMT 2024","Sun Jan 14 10:04:27 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"broken","Sun Jan 14 10:04:56 GMT 2024","Sun Jan 14 10:04:56 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:04:54 GMT 2024","Sun Jan 14 10:04:54 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:04:50 GMT 2024","Sun Jan 14 10:04:51 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 10:04:33 GMT 2024","Sun Jan 14 10:04:33 GMT 2024","75","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"broken","Sun Jan 14 10:04:24 GMT 2024","Sun Jan 14 10:04:24 GMT 2024","0","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 10:04:59 GMT 2024","Sun Jan 14 10:05:00 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Sun Jan 14 10:04:31 GMT 2024","Sun Jan 14 10:04:31 GMT 2024","81","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"passed","Sun Jan 14 10:04:43 GMT 2024","Sun Jan 14 10:04:48 GMT 2024","4453","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 10:04:36 GMT 2024","Sun Jan 14 10:04:36 GMT 2024","14","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 10:04:25 GMT 2024","Sun Jan 14 10:04:25 GMT 2024","0","test","hotel_test","TestHotel","","","test_booking",""
