"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 10:05:44 GMT 2024","Sun Jan 14 10:05:44 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:05:45 GMT 2024","Sun Jan 14 10:05:45 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"broken","Sun Jan 14 10:06:10 GMT 2024","Sun Jan 14 10:06:10 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:05:44 GMT 2024","Sun Jan 14 10:05:44 GMT 2024","23","test","hotel_test","TestHotel","","","test_booking",""
"passed","Sun Jan 14 10:06:00 GMT 2024","Sun Jan 14 10:06:04 GMT 2024","4465","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"broken","Sun Jan 14 10:05:55 GMT 2024","Sun Jan 14 10:05:58 GMT 2024","3103","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 10:05:39 GMT 2024","Sun Jan 14 10:05:39 GMT 2024","27","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:06:12 GMT 2024","Sun Jan 14 10:06:12 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 10:06:06 GMT 2024","Sun Jan 14 10:06:07 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"broken","Sun Jan 14 10:05:52 GMT 2024","Sun Jan 14 10:05:52 GMT 2024","13","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"passed","Sun Jan 14 10:05:41 GMT 2024","Sun Jan 14 10:05:42 GMT 2024","1105","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 10:05:50 GMT 2024","Sun Jan 14 10:05:50 GMT 2024","79","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"passed","Sun Jan 14 10:05:48 GMT 2024","Sun Jan 14 10:05:48 GMT 2024","75","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"passed","Sun Jan 14 10:06:14 GMT 2024","Sun Jan 14 10:06:15 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
