"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 11:22:35 GMT 2024","Sun Jan 14 11:22:36 GMT 2024","1824","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
"broken","Sun Jan 14 11:22:26 GMT 2024","Sun Jan 14 11:22:26 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:22:18 GMT 2024","Sun Jan 14 11:22:19 GMT 2024","1161","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:22:57 GMT 2024","Sun Jan 14 11:22:57 GMT 2024","818","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:22:39 GMT 2024","Sun Jan 14 11:22:44 GMT 2024","5167","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 11:22:53 GMT 2024","Sun Jan 14 11:22:54 GMT 2024","1013","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 11:22:30 GMT 2024","Sun Jan 14 11:22:30 GMT 2024","73","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"broken","Sun Jan 14 11:22:27 GMT 2024","Sun Jan 14 11:22:27 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 11:23:00 GMT 2024","Sun Jan 14 11:23:01 GMT 2024","765","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:22:21 GMT 2024","Sun Jan 14 11:22:22 GMT 2024","1106","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 11:22:25 GMT 2024","Sun Jan 14 11:22:26 GMT 2024","1008","test","hotel_test","TestHotel","","","test_booking",""
"passed","Sun Jan 14 11:22:46 GMT 2024","Sun Jan 14 11:22:51 GMT 2024","4444","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"passed","Sun Jan 14 11:23:03 GMT 2024","Sun Jan 14 11:23:04 GMT 2024","1058","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Sun Jan 14 11:22:32 GMT 2024","Sun Jan 14 11:22:32 GMT 2024","74","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
